"Unicode.Code.Point.s.","Emoji","Description","Translated"
"U+1F9B8 U+200D U+2640 U+FE0F","🦸‍♀️","Woman Superhero","Kadın Süper Kahraman"
"U+1F9B9","🦹","Supervillain","Süper kötü adam"
"U+1F9B9 U+200D U+2642 U+FE0F","🦹‍♂️","Man Supervillain","Adam Süper Kötü Adam"
"U+1F9B9 U+200D U+2640 U+FE0F","🦹‍♀️","Woman Supervillain","Kadın Süper Kötü Adam"
"U+1F9D9","🧙","Mage","Büyücü"
"U+1F9D9 U+200D U+2642 U+FE0F","🧙‍♂️","Man Mage","Adam Mide"
"U+1F9D9 U+200D U+2640 U+FE0F","🧙‍♀️","Woman Mage","Kadın Büyücü"
"U+1F9DA","🧚","Fairy","Peri"
"U+1F9DA U+200D U+2642 U+FE0F","🧚‍♂️","Man Fairy","Adam Peri"
"U+1F9DA U+200D U+2640 U+FE0F","🧚‍♀️","Woman Fairy","Kadın Peri"
"U+1F9DB","🧛","Vampire","Vampir"
"U+1F9DB U+200D U+2642 U+FE0F","🧛‍♂️","Man Vampire","Adam Vampir"
"U+1F9DB U+200D U+2640 U+FE0F","🧛‍♀️","Woman Vampire","Kadın Vampir"
"U+1F9DC","🧜","Merperson","Deniz insanı"
"U+1F9DC U+200D U+2642 U+FE0F","🧜‍♂️","Merman","Deniz adamı"
"U+1F9DC U+200D U+2640 U+FE0F","🧜‍♀️","Mermaid","Deniz Kızı"
"U+1F9DD","🧝","Elf","Elf"
"U+1F9DD U+200D U+2642 U+FE0F","🧝‍♂️","Man Elf","Onbir Adam"
"U+1F9DD U+200D U+2640 U+FE0F","🧝‍♀️","Woman Elf","Kadın Elf"
"U+1F9DE","🧞","Genie","Cin"
"U+1F9DE U+200D U+2642 U+FE0F","🧞‍♂️","Man Genie","Adam Cin"
"U+1F9DE U+200D U+2640 U+FE0F","🧞‍♀️","Woman Genie","Kadın Cin"
"U+1F9DF","🧟","Zombie","Zombi"
"U+1F9DF U+200D U+2642 U+FE0F","🧟‍♂️","Man Zombie","Adam Zombi"
"U+1F9DF U+200D U+2640 U+FE0F","🧟‍♀️","Woman Zombie","Kadın Zombi"
"U+1F9CC","🧌","Troll","Trol"
"U+1F486","💆","Person Getting Massage","Masaj Yaptıran Kişi"
"U+1F486 U+200D U+2642 U+FE0F","💆‍♂️","Man Getting Massage","Adam masaj yaptırıyor"
"U+1F486 U+200D U+2640 U+FE0F","💆‍♀️","Woman Getting Massage","Kadın masaj yaptırıyor"
"U+1F487","💇","Person Getting Haircut","Saçını Kesen Kişi"
"U+1F487 U+200D U+2642 U+FE0F","💇‍♂️","Man Getting Haircut","Adam saçını kestiriyor"
"U+1F487 U+200D U+2640 U+FE0F","💇‍♀️","Woman Getting Haircut","Kadın saçını kestiriyor"
"U+1F6B6","🚶","Person Walking","Yürüyen Kişi"
"U+1F6B6 U+200D U+2642 U+FE0F","🚶‍♂️","Man Walking","Yürüyen adam"
"U+1F6B6 U+200D U+2640 U+FE0F","🚶‍♀️","Woman Walking","Yürüyen kadın"
"U+1F9CD","🧍","Person Standing","Ayakta duran kişi"
"U+1F9CD U+200D U+2642 U+FE0F","🧍‍♂️","Man Standing","Ayakta duran adam"
"U+1F9CD U+200D U+2640 U+FE0F","🧍‍♀️","Woman Standing","Ayakta duran kadın"
"U+1F9CE","🧎","Person Kneeling","Diz çökmüş kişi"
"U+1F9CE U+200D U+2642 U+FE0F","🧎‍♂️","Man Kneeling","Diz çökmüş adam"
"U+1F9CE U+200D U+2640 U+FE0F","🧎‍♀️","Woman Kneeling","diz çökmüş kadın"
"U+1F9D1 U+200D U+1F9AF","🧑‍🦯","Person With White Cane","Beyaz Bastonlu Kişi"
"U+1F468 U+200D U+1F9AF","👨‍🦯","Man With White Cane","Beyaz Bastonlu Adam"
"U+1F469 U+200D U+1F9AF","👩‍🦯","Woman With White Cane","Beyaz Bastonlu Kadın"
"U+1F9D1 U+200D U+1F9BC","🧑‍🦼","Person In Motorized Wheelchair","Motorlu Tekerlekli Sandalyedeki Kişi"
"U+1F468 U+200D U+1F9BC","👨‍🦼","Man In Motorized Wheelchair","Motorlu Tekerlekli Sandalyedeki Adam"
"U+1F469 U+200D U+1F9BC","👩‍🦼","Woman In Motorized Wheelchair","Motorlu Tekerlekli Sandalyedeki Kadın"
"U+1F9D1 U+200D U+1F9BD","🧑‍🦽","Person In Manual Wheelchair","Manuel Tekerlekli Sandalyedeki Kişi"
"U+1F468 U+200D U+1F9BD","👨‍🦽","Man In Manual Wheelchair","Manuel Tekerlekli Sandalyedeki Adam"
"U+1F469 U+200D U+1F9BD","👩‍🦽","Woman In Manual Wheelchair","Manuel Tekerlekli Sandalyedeki Kadın"
"U+1F3C3","🏃","Person Running","Koşan kişi"
"U+1F3C3 U+200D U+2642 U+FE0F","🏃‍♂️","Man Running","Koşan adam"
"U+1F3C3 U+200D U+2640 U+FE0F","🏃‍♀️","Woman Running","Koşan kadın"
"U+1F483","💃","Woman Dancing","Dans eden kadın"
"U+1F57A","🕺","Man Dancing","Dans eden adam"
"U+1F574 U+FE0F","🕴️","Person In Suit Levitating","Havaya Yükselen Takım Elbiseli Kişi"
"U+1F46F","👯","People With Bunny Ears","Tavşan Kulaklı İnsanlar"
"U+1F46F U+200D U+2642 U+FE0F","👯‍♂️","Men With Bunny Ears","Tavşan Kulaklı Erkekler"
"U+1F46F U+200D U+2640 U+FE0F","👯‍♀️","Women With Bunny Ears","Tavşan Kulaklı Kadınlar"
"U+1F9D6","🧖","Person In Steamy Room","Buhar Odasındaki Kişi"
"U+1F9D6 U+200D U+2642 U+FE0F","🧖‍♂️","Man In Steamy Room","Buharlı Odadaki Adam"
"U+1F9D6 U+200D U+2640 U+FE0F","🧖‍♀️","Woman In Steamy Room","Buharlı Odadaki Kadın"
"U+1F9D7","🧗","Person Climbing","Kişi Tırmanışı"
"U+1F9D7 U+200D U+2642 U+FE0F","🧗‍♂️","Man Climbing","Adam Tırmanıyor"
"U+1F9D7 U+200D U+2640 U+FE0F","🧗‍♀️","Woman Climbing","Kadın Tırmanışı"
"U+1F93A","🤺","Person Fencing","Kişi Eskrim"
"U+1F3C7","🏇","Horse Racing","At yarışı"
"U+26F7 U+FE0F","⛷️","Skier","Kayakçı"
"U+1F3C2","🏂","Snowboarder","Kayakçı"
"U+1F3CC U+FE0F","🏌️","Person Golfing","Golf oynayan kişi"
"U+1F3CC U+FE0F U+200D U+2642 U+FE0F","🏌️‍♂️","Man Golfing","Adam Golf"
"U+1F3CC U+FE0F U+200D U+2640 U+FE0F","🏌️‍♀️","Woman Golfing","Golf oynayan kadın"
"U+1F3C4","🏄","Person Surfing","Kişi Sörfü"
"U+1F3C4 U+200D U+2642 U+FE0F","🏄‍♂️","Man Surfing","Adam sörf"
"U+1F3C4 U+200D U+2640 U+FE0F","🏄‍♀️","Woman Surfing","Sörf yapan kadın"
"U+1F6A3","🚣","Person Rowing Boat","Kişi Kürekli Tekne"
"U+1F6A3 U+200D U+2642 U+FE0F","🚣‍♂️","Man Rowing Boat","Adam kürekli tekne"
"U+1F6A3 U+200D U+2640 U+FE0F","🚣‍♀️","Woman Rowing Boat","Kadın Kürekli Tekne"
"U+1F3CA","🏊","Person Swimming","Kişi Yüzme"
"U+1F3CA U+200D U+2642 U+FE0F","🏊‍♂️","Man Swimming","Adam Yüzme"
"U+1F3CA U+200D U+2640 U+FE0F","🏊‍♀️","Woman Swimming","Kadın Yüzme"
"U+26F9 U+FE0F","⛹️","Person Bouncing Ball","Top Zıplayan Kişi"
"U+26F9 U+FE0F U+200D U+2642 U+FE0F","⛹️‍♂️","Man Bouncing Ball","Topu Zıplayan Adam"
"U+26F9 U+FE0F U+200D U+2640 U+FE0F","⛹️‍♀️","Woman Bouncing Ball","Top Zıplayan Kadın"
"U+1F3CB U+FE0F","🏋️","Person Lifting Weights","Ağırlık Kaldıran Kişi"
"U+1F3CB U+FE0F U+200D U+2642 U+FE0F","🏋️‍♂️","Man Lifting Weights","Ağırlık kaldıran adam"
"U+1F3CB U+FE0F U+200D U+2640 U+FE0F","🏋️‍♀️","Woman Lifting Weights","Ağırlık kaldıran kadın"
"U+1F6B4","🚴","Person Biking","Bisiklete binen kişi"
"U+1F6B4 U+200D U+2642 U+FE0F","🚴‍♂️","Man Biking","adam, bisiklete binme"
"U+1F6B4 U+200D U+2640 U+FE0F","🚴‍♀️","Woman Biking","Kadın Bisiklete binme"
"U+1F6B5","🚵","Person Mountain Biking","Kişi Dağ Bisikleti"
"U+1F6B5 U+200D U+2642 U+FE0F","🚵‍♂️","Man Mountain Biking","Adam Dağ Bisikleti"
"U+1F6B5 U+200D U+2640 U+FE0F","🚵‍♀️","Woman Mountain Biking","Kadın Dağ Bisikleti"
"U+1F938","🤸","Person Cartwheeling","Kişi takla atıyor"
"U+1F938 U+200D U+2642 U+FE0F","🤸‍♂️","Man Cartwheeling","Adam takla atıyor"
"U+1F938 U+200D U+2640 U+FE0F","🤸‍♀️","Woman Cartwheeling","Kadın takla atıyor"
"U+1F93C","🤼","People Wrestling","İnsanlar güreş"
"U+1F93C U+200D U+2642 U+FE0F","🤼‍♂️","Men Wrestling","Erkekler Güreş"
"U+1F93C U+200D U+2640 U+FE0F","🤼‍♀️","Women Wrestling","Kadınlar Güreş"
"U+1F93D","🤽","Person Playing Water Polo","Su Topu Oynayan Kişi"
"U+1F93D U+200D U+2642 U+FE0F","🤽‍♂️","Man Playing Water Polo","Su Topu Oynayan Adam"
"U+1F93D U+200D U+2640 U+FE0F","🤽‍♀️","Woman Playing Water Polo","Su Topu Oynayan Kadın"
"U+1F93E","🤾","Person Playing Handball","Hentbol Oynayan Kişi"
"U+1F93E U+200D U+2642 U+FE0F","🤾‍♂️","Man Playing Handball","Hentbol oynayan adam"
"U+1F93E U+200D U+2640 U+FE0F","🤾‍♀️","Woman Playing Handball","Hentbol Oynayan Kadın"
"U+1F939","🤹","Person Juggling","Hokkabazlık yapan kişi"
"U+1F939 U+200D U+2642 U+FE0F","🤹‍♂️","Man Juggling","Hokkabazlık yapan adam"
"U+1F939 U+200D U+2640 U+FE0F","🤹‍♀️","Woman Juggling","Hokkabazlık yapan kadın"
"U+1F9D8","🧘","Person In Lotus Position","Lotus Pozisyonundaki Kişi"
"U+1F9D8 U+200D U+2642 U+FE0F","🧘‍♂️","Man In Lotus Position","Lotus Pozisyonundaki Adam"
"U+1F9D8 U+200D U+2640 U+FE0F","🧘‍♀️","Woman In Lotus Position","Lotus Pozisyonundaki Kadın"
"U+1F6C0","🛀","Person Taking Bath","Banyo Yapan Kişi"
"U+1F6CC","🛌","Person In Bed","Yataktaki Kişi"
"U+1F9D1 U+200D U+1F91D U+200D U+1F9D1","🧑‍🤝‍🧑","People Holding Hands","El ele tutuşan insanlar"
"U+1F46D","👭","Women Holding Hands","Kadınlar elele"
"U+1F46B","👫","Woman And Man Holding Hands","Kadın ve erkek elele"
"U+1F46C","👬","Men Holding Hands","Erkekler elele"
"U+1F48F","💏","Kiss","Öpücük"
"U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468","👩‍❤️‍💋‍👨","Kiss: Woman, Man","Öpücük: Kadın, Erkek"
"U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468","👨‍❤️‍💋‍👨","Kiss: Man, Man","Öpücük: Adamım, Adamım"
"U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469","👩‍❤️‍💋‍👩","Kiss: Woman, Woman","Öpücük: Kadın, Kadın"
"U+1F491","💑","Couple With Heart","Çift kalpli"
"U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468","👩‍❤️‍👨","Couple With Heart: Woman, Man","Kalpli Çift: Kadın, Erkek"
"U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468","👨‍❤️‍👨","Couple With Heart: Man, Man","Kalpli Çift: Erkek, Erkek"
"U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469","👩‍❤️‍👩","Couple With Heart: Woman, Woman","Kalpli Çift: Kadın, Kadın"
"U+1F46A","👪","Family","Aile"
"U+1F468 U+200D U+1F469 U+200D U+1F466","👨‍👩‍👦","Family: Man, Woman, Boy","Ailesi: Erkek, Kadın, Erkek Çocuk"
"U+1F468 U+200D U+1F469 U+200D U+1F467","👨‍👩‍👧","Family: Man, Woman, Girl","Ailesi: Erkek, Kadın, Kız"
"U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466","👨‍👩‍👧‍👦","Family: Man, Woman, Girl, Boy","Ailesi: Erkek, Kadın, Kız, Erkek"
"U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466","👨‍👩‍👦‍👦","Family: Man, Woman, Boy, Boy","Ailesi: Erkek, Kadın, Erkek Çocuk, Erkek Çocuk"
"U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467","👨‍👩‍👧‍👧","Family: Man, Woman, Girl, Girl","Ailesi: Erkek, Kadın, Kız, Kız"
"U+1F468 U+200D U+1F468 U+200D U+1F466","👨‍👨‍👦","Family: Man, Man, Boy","Ailesi: Erkek, Erkek, Erkek Çocuk"
"U+1F468 U+200D U+1F468 U+200D U+1F467","👨‍👨‍👧","Family: Man, Man, Girl","Ailesi: Erkek, Erkek, Kız"
"U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466","👨‍👨‍👧‍👦","Family: Man, Man, Girl, Boy","Ailesi: Erkek, Erkek, Kız, Erkek"
"U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466","👨‍👨‍👦‍👦","Family: Man, Man, Boy, Boy","Ailesi: Erkek, Erkek, Erkek Çocuk, Erkek Çocuk"
"U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467","👨‍👨‍👧‍👧","Family: Man, Man, Girl, Girl","Ailesi: Erkek, Erkek, Kız, Kız"
"U+1F469 U+200D U+1F469 U+200D U+1F466","👩‍👩‍👦","Family: Woman, Woman, Boy","Ailesi: Kadın, Kadın, Erkek Çocuk"
"U+1F469 U+200D U+1F469 U+200D U+1F467","👩‍👩‍👧","Family: Woman, Woman, Girl","Ailesi: Kadın, Kadın, Kız"
"U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466","👩‍👩‍👧‍👦","Family: Woman, Woman, Girl, Boy","Ailesi: Kadın, Kadın, Kız, Erkek"
"U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466","👩‍👩‍👦‍👦","Family: Woman, Woman, Boy, Boy","Ailesi: Kadın, Kadın, Oğlan, Oğlan"
"U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467","👩‍👩‍👧‍👧","Family: Woman, Woman, Girl, Girl","Ailesi: Kadın, Kadın, Kız, Kız"
"U+1F468 U+200D U+1F466","👨‍👦","Family: Man, Boy","Ailesi: Erkek, Erkek Çocuk"
"U+1F468 U+200D U+1F466 U+200D U+1F466","👨‍👦‍👦","Family: Man, Boy, Boy","Ailesi: Erkek, Erkek Çocuk, Erkek Çocuk"
"U+1F468 U+200D U+1F467","👨‍👧","Family: Man, Girl","Ailesi: Erkek, Kız"
"U+1F468 U+200D U+1F467 U+200D U+1F466","👨‍👧‍👦","Family: Man, Girl, Boy","Ailesi: Erkek, Kız, Erkek"
"U+1F468 U+200D U+1F467 U+200D U+1F467","👨‍👧‍👧","Family: Man, Girl, Girl","Ailesi: Erkek, Kız, Kız"
"U+1F469 U+200D U+1F466","👩‍👦","Family: Woman, Boy","Ailesi: Kadın, Erkek"
"U+1F469 U+200D U+1F466 U+200D U+1F466","👩‍👦‍👦","Family: Woman, Boy, Boy","Ailesi: Kadın, Erkek Çocuk, Erkek Çocuk"
"U+1F469 U+200D U+1F467","👩‍👧","Family: Woman, Girl","Ailesi: Kadın, Kız"
"U+1F469 U+200D U+1F467 U+200D U+1F466","👩‍👧‍👦","Family: Woman, Girl, Boy","Ailesi: Kadın, Kız, Erkek"
"U+1F469 U+200D U+1F467 U+200D U+1F467","👩‍👧‍👧","Family: Woman, Girl, Girl","Ailesi: Kadın, Kız, Kız"
"U+1F5E3 U+FE0F","🗣️","Speaking Head","Konuşan Kafa"
"U+1F464","👤","Bust In Silhouette","Siluet Büstü"
"U+1F465","👥","Busts In Silhouette","Siluetteki Büstler"
"U+1FAC2","🫂","People Hugging","İnsanlar sarılıyor"
"U+1F463","👣","Footprints","Ayak izi"
"U+1F435","🐵","Monkey Face","Maymun surat"
"U+1F412","🐒","Monkey","Maymun"
"U+1F98D","🦍","Gorilla","Goril"
"U+1F9A7","🦧","Orangutan","Orangutan"
"U+1F436","🐶","Dog Face","Köpek yüzü"
"U+1F415","🐕","Dog","Köpek"
"U+1F9AE","🦮","Guide Dog","Rehber köpek"
"U+1F415 U+200D U+1F9BA","🐕‍🦺","Service Dog","Servis köpeği"
"U+1F429","🐩","Poodle","Kaniş"
"U+1F43A","🐺","Wolf","Kurt"
"U+1F98A","🦊","Fox","Tilki"
"U+1F99D","🦝","Raccoon","Rakun"
"U+1F431","🐱","Cat Face","Kedi surat"
"U+1F408","🐈","Cat","Kedi"
"U+1F408 U+200D U+2B1B","🐈‍⬛","Black Cat","Kara kedi"
"U+1F981","🦁","Lion","Aslan"
"U+1F42F","🐯","Tiger Face","Kaplan Yüzü"
"U+1F405","🐅","Tiger","Kaplan"
"U+1F406","🐆","Leopard","Leopar"
"U+1F434","🐴","Horse Face","At yüzü"
"U+1FACE","🫎","Moose","geyik"
"U+1FACF","🫏","Donkey","Eşek"
"U+1F40E","🐎","Horse","Atış"
"U+1F984","🦄","Unicorn","Tek boynuzlu at"
"U+1F993","🦓","Zebra","Zebra"
"U+1F98C","🦌","Deer","Geyik"
"U+1F9AC","🦬","Bison","Bizon"
"U+1F42E","🐮","Cow Face","İnek Yüzü"
"U+1F402","🐂","Ox","Öküz"
"U+1F403","🐃","Water Buffalo","Manda"
"U+1F404","🐄","Cow","İnek"
"U+1F437","🐷","Pig Face","Domuz suratlı"
"U+1F416","🐖","Pig","Domuz"
"U+1F417","🐗","Boar","Domuz"
"U+1F43D","🐽","Pig Nose","Domuz burnu"
"U+1F40F","🐏","Ram","Veri deposu"
"U+1F411","🐑","Ewe","Yaprak"
"U+1F410","🐐","Goat","Keçi"
"U+1F42A","🐪","Camel","Deve"
"U+1F42B","🐫","Two-Hump Camel","İki Kamburlu Deve"
"U+1F999","🦙","Llama","Aramalar"
"U+1F992","🦒","Giraffe","Zürafa"
"U+1F418","🐘","Elephant","Fil"
"U+1F9A3","🦣","Mammoth","Mamut"
"U+1F98F","🦏","Rhinoceros","Gergedan"
"U+1F99B","🦛","Hippopotamus","Su aygırı"
"U+1F42D","🐭","Mouse Face","Fare Yüzü"
"U+1F401","🐁","Mouse","Fare"
"U+1F400","🐀","Rat","Fare"
"U+1F439","🐹","Hamster","Hamster"
"U+1F430","🐰","Rabbit Face","Tavşan Yüzü"
"U+1F407","🐇","Rabbit","Tavşan"
"U+1F43F U+FE0F","🐿️","Chipmunk","Sincap"
"U+1F9AB","🦫","Beaver","kunduz"
"U+1F994","🦔","Hedgehog","Kirpi"
"U+1F987","🦇","Bat","Bir"
"U+1F43B","🐻","Bear","Ayı"
"U+1F43B U+200D U+2744 U+FE0F","🐻‍❄️","Polar Bear","Kutup ayısı"
"U+1F428","🐨","Koala","Koala"
"U+1F43C","🐼","Panda","Panda"
"U+1F9A5","🦥","Sloth","Tembellik"
"U+1F9A6","🦦","Otter","Su samuru"
"U+1F9A8","🦨","Skunk","Kokarca"
"U+1F998","🦘","Kangaroo","Kanguru"
"U+1F9A1","🦡","Badger","Porsuk"
"U+1F43E","🐾","Paw Prints","Pati izleri"
"U+1F983","🦃","Turkey","Türkiye"
"U+1F414","🐔","Chicken","Tavuk"
"U+1F413","🐓","Rooster","Horoz"
"U+1F423","🐣","Hatching Chick","Kuluçkadan Çıkan Civciv"
"U+1F424","🐤","Baby Chick","Civciv"
"U+1F425","🐥","Front-Facing Baby Chick","Öne Bakan Civciv"
"U+1F426","🐦","Bird","Kuş"
"U+1F427","🐧","Penguin","Penguen"
"U+1F54A U+FE0F","🕊️","Dove","Nerede"
"U+1F985","🦅","Eagle","Kartal"
"U+1F986","🦆","Duck","Ördek"
"U+1F9A2","🦢","Swan","Kuğu"
"U+1F989","🦉","Owl","Baykuş"
"U+1F9A4","🦤","Dodo","Dodo"
"U+1FAB6","🪶","Feather","Tüy"
"U+1F9A9","🦩","Flamingo","Flamingo"
"U+1F99A","🦚","Peacock","tavuskuşu"
"U+1F99C","🦜","Parrot","Papağan"
"U+1FABD","🪽","Wing","Kanat"
"U+1F426 U+200D U+2B1B","🐦‍⬛","Black Bird","Kara Kuş"
"U+1FABF","🪿","Goose","Kaz"
"U+1F438","🐸","Frog","Kurbağa"
"U+1F40A","🐊","Crocodile","Timsah"
"U+1F422","🐢","Turtle","Kaplumbağa"
"U+1F98E","🦎","Lizard","Kertenkele"
"U+1F40D","🐍","Snake","Yılan"
"U+1F432","🐲","Dragon Face","Ejderha Yüzü"
"U+1F409","🐉","Dragon","Ejderha"
"U+1F995","🦕","Sauropod","Sauropod"
"U+1F996","🦖","T-Rex","T-Rex"
"U+1F433","🐳","Spouting Whale","Fışkıran Balina"
"U+1F40B","🐋","Whale","Balina"
"U+1F42C","🐬","Dolphin","Yunus"
"U+1F9AD","🦭","Seal","Fok"
"U+1F41F","🐟","Fish","Balık"
"U+1F420","🐠","Tropical Fish","Tropikal balık"
"U+1F421","🐡","Blowfish","Balon balığı"
"U+1F988","🦈","Shark","Köpek balığı"
"U+1F419","🐙","Octopus","Ahtapot"
"U+1F41A","🐚","Spiral Shell","Spiral Kabuk"
"U+1FAB8","🪸","Coral","Mercan"
"U+1FABC","🪼","Jellyfish","Deniz anası"
"U+1F40C","🐌","Snail","Salyangoz"
"U+1F98B","🦋","Butterfly","Kelebek"
"U+1F41B","🐛","Bug","Böcek"
"U+1F41C","🐜","Ant","Karınca"
"U+1F41D","🐝","Honeybee","Bal arısı"
"U+1FAB2","🪲","Beetle","Böcek"
"U+1F41E","🐞","Lady Beetle","Bayan Böceği"
"U+1F997","🦗","Cricket","Kriket"
"U+1FAB3","🪳","Cockroach","Hamamböceği"
"U+1F577 U+FE0F","🕷️","Spider","Örümcek"
"U+1F578 U+FE0F","🕸️","Spider Web","Örümcek ağı"
"U+1F982","🦂","Scorpion","Akrep"
"U+1F99F","🦟","Mosquito","Sivrisinek"
"U+1FAB0","🪰","Fly","Uçmak"
"U+1FAB1","🪱","Worm","Solucan"
"U+1F9A0","🦠","Microbe","Mikrop"
"U+1F490","💐","Bouquet","Buket"
"U+1F338","🌸","Cherry Blossom","Kiraz çiçeği"
"U+1F4AE","💮","White Flower","Beyaz çiçek"
"U+1FAB7","🪷","Lotus","Lotus"
"U+1F3F5 U+FE0F","🏵️","Rosette","Rozet"
"U+1F339","🌹","Rose","Gül"
"U+1F940","🥀","Wilted Flower","Solmuş Çiçek"
"U+1F33A","🌺","Hibiscus","Ebegümeci"
"U+1F33B","🌻","Sunflower","Ayçiçeği"
"U+1F33C","🌼","Blossom","Çiçeği"
"U+1F337","🌷","Tulip","Lale"
"U+1FABB","🪻","Hyacinth","Sümbül"
"U+1F331","🌱","Seedling","Fide"
"U+1FAB4","🪴","Potted Plant","Saksı bitkisi"
"U+1F332","🌲","Evergreen Tree","Yaprak dökmeyen ağaç"
"U+1F333","🌳","Deciduous Tree","Yaprak döken ağaç"
"U+1F334","🌴","Palm Tree","Palmiye"
"U+1F335","🌵","Cactus","Kaktüs"
"U+1F33E","🌾","Sheaf Of Rice","Pirinç Demeti"
"U+1F33F","🌿","Herb","Bitki"
"U+2618 U+FE0F","☘️","Shamrock","Yonca"
"U+1F340","🍀","Four Leaf Clover","Dört yapraklı yonca"
"U+1F341","🍁","Maple Leaf","akçaağaç yaprağı"
"U+1F342","🍂","Fallen Leaf","Düşen Yaprak"
"U+1F343","🍃","Leaf Fluttering In Wind","Rüzgarda Çırpınan Yaprak"
"U+1FAB9","🪹","Empty Nest","Boş yuva"
"U+1FABA","🪺","Nest With Eggs","Yumurtalı Yuva"
"U+1F344","🍄","Mushroom","Mantar"
"U+1F347","🍇","Grapes","Üzüm"
"U+1F348","🍈","Melon","Kavun"
"U+1F349","🍉","Watermelon","Karpuz"
"U+1F34A","🍊","Tangerine","mandalina"
"U+1F34B","🍋","Lemon","Limon"
"U+1F34C","🍌","Banana","Muz"
"U+1F34D","🍍","Pineapple","Ananas"
"U+1F96D","🥭","Mango","Mango"
"U+1F34E","🍎","Red Apple","kırmızı elma"
"U+1F34F","🍏","Green Apple","Yeşil Elma"
"U+1F350","🍐","Pear","Armut"
"U+1F351","🍑","Peach","şeftali"
"U+1F352","🍒","Cherries","Kirazlar"
"U+1F353","🍓","Strawberry","çilek"
"U+1FAD0","🫐","Blueberries","Yaban mersini"
"U+1F95D","🥝","Kiwi Fruit","Kivi meyvesi"
"U+1F345","🍅","Tomato","Domates"
"U+1FAD2","🫒","Olive","zeytin"
"U+1F965","🥥","Coconut","Hindistan cevizi"
"U+1F951","🥑","Avocado","Avokado"
"U+1F346","🍆","Eggplant","Patlıcan"
"U+1F954","🥔","Potato","Patates"
"U+1F955","🥕","Carrot","Havuç"
"U+1F33D","🌽","Ear Of Corn","Mısır Başağı"
"U+1F336 U+FE0F","🌶️","Hot Pepper","Acı biber"
"U+1FAD1","🫑","Bell Pepper","Dolmalık biber"
"U+1F952","🥒","Cucumber","Salatalık"
"U+1F96C","🥬","Leafy Green","Yaprak yeşili"
"U+1F966","🥦","Broccoli","Brokoli"
"U+1F9C4","🧄","Garlic","Sarımsak"
"U+1F9C5","🧅","Onion","Soğan"
"U+1F95C","🥜","Peanuts","Yer fıstığı"
"U+1FAD8","🫘","Beans","Fasulye"
"U+1F330","🌰","Chestnut","kestane"
"U+1FADA","🫚","Ginger Root","Zencefil kökü"
"U+1FADB","🫛","Pea Pod","Kafa Pod"
"U+1F35E","🍞","Bread","Ekmek"
"U+1F950","🥐","Croissant","Kruvasan"
"U+1F956","🥖","Baguette Bread","Baget Ekmek"
"U+1FAD3","🫓","Flatbread","Gözleme"
"U+1F968","🥨","Pretzel","Çubuk kraker"
"U+1F96F","🥯","Bagel","Simit"
"U+1F95E","🥞","Pancakes","Krep"
"U+1F9C7","🧇","Waffle","Gözleme"
"U+1F9C0","🧀","Cheese Wedge","Peynir Dilim"
"U+1F356","🍖","Meat On Bone","Kemikli Et"
"U+1F357","🍗","Poultry Leg","Kümes hayvanları bacağı"
"U+1F969","🥩","Cut Of Meat","Et Kesimi"
"U+1F953","🥓","Bacon","Domuz pastırması"
"U+1F354","🍔","Hamburger","Hamburger"
"U+1F35F","🍟","French Fries","Patates kızartması"
"U+1F355","🍕","Pizza","Pizza"
"U+1F32D","🌭","Hot Dog","Sosisli sandviç"
"U+1F96A","🥪","Sandwich","Sandviç"
"U+1F32E","🌮","Taco","Tako"
"U+1F32F","🌯","Burrito","Burrito"
"U+1FAD4","🫔","Tamale","Tamale"
"U+1F959","🥙","Stuffed Flatbread","Doldurulmuş Gözleme"
"U+1F9C6","🧆","Falafel","Falafel"
"U+1F95A","🥚","Egg","Yumurta"
"U+1F373","🍳","Cooking","Yemek pişirmek"
